tag,game_count,median_owner_mid,median_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,free_operation_score
Hero Shooter,52,35000.0,57.5,76.9464272495585,0.0,0.0,-0.3635821242258442
Space Sim,51,35000.0,55.0,77.03703703703704,0.0,0.0,-0.375083428548838
Tower Defense,120,35000.0,67.5,75.71428571428571,0.0,0.0,-0.37685082187607494
Rogue-lite,127,10000.0,34.0,80.0,0.0,0.0,-0.37839350364876556
Tactical,268,35000.0,109.5,72.5810532403224,0.0,0.0,-0.38067684926606166
Game Development,62,35000.0,33.5,79.98430634023855,0.0,0.0,-0.38494250517682677
6DOF,41,35000.0,23.0,82.29119123687813,0.0,0.0,-0.3863419929527753
Magic,219,35000.0,45.0,78.08689024390245,0.0,0.0,-0.38799641265985735
Auto Battler,44,10000.0,42.5,78.40988756551099,0.0,0.0,-0.39016425894533663
Zombies,197,75000.0,146.0,70.4524373739589,0.0,0.0,-0.39862202155113
Racing,240,22500.0,60.5,76.03305785123968,0.0,0.0,-0.39947292484354263
Flight,115,35000.0,65.0,75.51369863013699,0.0,0.0,-0.4034705090129747
Hack and Slash,186,35000.0,96.0,73.02158273381295,0.0,0.0,-0.40467763933486567
Utilities,196,10000.0,38.0,78.80434782608695,0.0,0.0,-0.40874561132522796
Turn-Based Strategy,199,35000.0,67.0,75.22123893805309,0.0,0.0,-0.40957829556963504
Time Management,72,10000.0,30.0,80.10583436393716,0.0,0.0,-0.4191962872392773
Cinematic,81,35000.0,52.0,76.64482306684141,0.0,0.0,-0.4202717677422392
Third Person,447,35000.0,83.0,73.65689865689866,0.0,0.0,-0.42216203841553385
Education,252,10000.0,23.0,81.53846153846153,0.0,0.0,-0.4319552853909083
Combat Racing,46,10000.0,45.5,77.2328548644338,0.0,0.0,-0.43554250221885354
Space,287,35000.0,51.0,76.40672782874617,0.0,0.0,-0.442110461585215
Character Action Game,51,35000.0,44.0,77.08333333333334,0.0,0.0,-0.4573601286154306
Strategy,1424,35000.0,86.0,72.79411764705883,0.0,0.0,-0.4607916762498165
Swordplay,42,55000.0,75.5,73.5753948999946,0.0,0.0,-0.4634877152635927
Real Time Tactics,105,10000.0,53.0,75.8098223615465,0.0,0.0,-0.4635981830787739
Action Roguelike,114,10000.0,20.5,81.69014084507043,0.0,0.0,-0.46556034520282624
Dungeon Crawler,121,35000.0,38.0,77.84808401311172,0.0,0.0,-0.46669249589879613
Realistic,282,35000.0,83.0,72.79411764705883,0.0,0.0,-0.4744441293104134
Supernatural,53,35000.0,49.0,76.05312084993359,0.0,0.0,-0.47879705931811345
Action,3044,35000.0,53.0,75.51020408163265,0.0,0.0,-0.4817542040917202
Battle Royale,113,35000.0,146.0,69.02532084634062,0.0,0.0,-0.4851012499573915
3D,905,10000.0,37.0,77.60000000000001,0.0,0.0,-0.49183157857407633
Sports,331,35000.0,59.0,74.40476190476191,0.0,0.0,-0.507749841612457
Tactical RPG,73,35000.0,47.0,75.67840083108982,0.0,0.0,-0.5173860341148467
Rogue-like,153,10000.0,36.0,77.30496453900709,0.0,0.0,-0.5200853083003419
