appid,name,genres_items,categories_items,tags_items,genres_item_count,categories_item_count,tags_item_count,review_count_calc,positive_rate_calc,recommendations,peak_ccu,attention_score_descriptive,is_indie_positioned
1041840,Fight Angel Special Edition,"['Action', 'Simulation']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']","['Sexual Content', 'Nudity', 'Mature', 'Hentai', 'Character Customization', 'Fighting', 'Female Protagonist', 'Spectacle fighter', 'Arcade', 'Anime', 'PvP', 'Action', 'Action RPG', '3D Fighter', 'Martial Arts', 'Controller', '3D', 'Simulation', 'Action-Adventure', '3D Platformer']",2,11,20,1799,75.5419677598666,1653,9,1.9345083894182424,False
1142130,They Can't Stop All Of Us,"['Action', 'Free To Play', 'Indie', 'Strategy']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']","['Free to Play', 'Strategy', 'Multiplayer', 'Memes', 'Indie', 'Tower Defense', 'Action', 'Violent', 'Co-op', 'Funny', 'Base-Building', 'Comedy', 'Online Co-Op', 'Third Person', 'Replay Value', 'Early Access', 'Singleplayer', 'Shooter', 'Building', 'Bullet Hell']",4,5,20,1654,73.94195888754534,0,0,0.3366962368168211,True
1398740,The Chrono Jotter,"['Adventure', 'Indie']","['Single-player', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Visual Novel', 'Indie', 'Female Protagonist', 'Story Rich', 'LGBTQ+', 'Lovecraftian', 'Detective', 'Adventure', 'Atmospheric', 'Horror', 'Mystery', 'Drama', 'Thriller', 'Interactive Fiction', 'Word Game', 'Emotional', 'Puzzle', 'Psychological Horror', 'Anime', 'Exploration']",2,4,20,1893,94.82303222398309,1654,4,1.7501230042127813,True
1772820,Mushy,"['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie']","['Multi-player', 'PvP', 'Online PvP']",[],5,3,0,0,,0,0,-0.6836679568873337,True
1482840,Come with Me,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Free To Play']","['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together']",[],6,9,0,0,,0,0,-0.6836679568873337,True
581130,Metal Waltz: Anime tank girls,"['Adventure', 'RPG', 'Simulation', 'Strategy']","['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Anime', 'Nudity', 'Free to Play', 'Sexual Content', 'Strategy', 'RPG', 'Adventure', 'Simulation', 'Mature', 'Hentai', 'Tanks', 'Military', 'Visual Novel', 'Multiplayer', '2D']",4,6,15,1651,78.8007268322229,0,39,1.3554412618765725,False
702320,March of Empires,"['Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'In-App Purchases']","['Free to Play', 'Wargame', 'Medieval', 'Strategy', 'War', 'Massively Multiplayer', 'PvP', 'Base-Building', 'Action RTS', '4X', 'RTS', 'Action', 'Co-op', 'City Builder', 'Real Time Tactics', 'Crafting', 'RPG', '3D', 'Top-Down', 'Character Customization']",4,5,20,1649,64.70588235294117,0,1156,2.2847215639171616,False
1022980,Ostranauts,"['Indie', 'RPG', 'Simulation', 'Early Access']","['Single-player', 'Family Sharing']","['Early Access', 'Top-Down', 'Cyberpunk', 'Open World', 'Simulation', 'Open World Survival Craft', 'Procedural Generation', 'Space', 'Sandbox', 'RPG', 'Spaceships', 'Immersive Sim', 'Space Sim', 'Sci-fi', 'Trading', 'Life Sim', 'Exploration', 'Choices Matter', 'Difficult', 'Survival']",4,2,20,1735,78.5014409221902,1648,136,2.6521504084676635,True
1291500,Kill It With Fire: Ignition,"['Action', 'Casual', 'Indie', 'Simulation']","['Single-player', 'Full controller support']","['Sandbox', 'Funny', 'Comedy', 'First-Person', 'Cute', 'Physics', 'Simulation', 'Destruction', 'Exploration', 'Stealth', 'Survival', '3D', 'Casual', 'Action', 'Parody', 'Dark Humor', 'Artificial Intelligence', 'FPS', 'Survival Horror', 'Character Customization']",4,2,20,1650,91.57575757575758,0,1,0.5278340757466023,True
936780,Warplanes: WW2 Dogfight,"['Action', 'Free To Play', 'Indie']","['Single-player', 'Full controller support', 'In-App Purchases', 'Steam Cloud']","['Free to Play', 'Flight', 'World War II', 'Indie', 'Action', 'Multiplayer', 'Simulation', 'Wargame', 'Singleplayer', 'Shooter', 'War', 'Strategy']",3,4,12,1648,86.22572815533981,0,24,1.2253599300391442,True
