tag,indie_count,non_indie_count,indie_share,non_indie_share,lift
Hero Shooter,409.0,138.0,0.006259565350474441,0.005684158497405058,1.1012299099914382
3D,11176.0,3774.0,0.17104377104377105,0.15544937803772962,1.1003181434553986
Singleplayer,31891.0,10832.0,0.48807774716865626,0.44616525249196803,1.0939393967651991
Futuristic,2195.0,750.0,0.03359351086623814,0.03089216574676662,1.0874443424140394
Story Rich,8418.0,2878.0,0.1288337924701561,0.11854353735892578,1.0868057031238534
3D Vision,464.0,159.0,0.007101316192225283,0.006549139138314524,1.0843129214770153
Mars,134.0,46.0,0.002050811141720233,0.0018947194991350193,1.0823824543192133
Hack and Slash,1922.0,661.0,0.029415365779002143,0.027226295411483647,1.0804027993685539
Strategy,11500.0,3965.0,0.17600244872972146,0.16331658291457288,1.0776765322219868
Tutorial,976.0,337.0,0.014937251300887664,0.013880879808880468,1.0761026322936222
Drama,2061.0,712.0,0.031542699724517904,0.02932696268226378,1.0755528987525922
Time Management,1213.0,420.0,0.018564432200795837,0.017299612818189307,1.0731125832640984
On-Rails Shooter,199.0,69.0,0.0030456075910621364,0.002842079248702529,1.0716124796493702
Inventory Management,746.0,260.0,0.011417202326293235,0.01070928412554576,1.0661032233759506
Violent,3221.0,1125.0,0.04929599020508112,0.04633824862014993,1.0638293779546306
Gothic,366.0,129.0,0.0056014692378328745,0.005313452508443859,1.0542051950085778
Political,340.0,120.0,0.005203550658096113,0.00494274651948266,1.052765023977145
Artificial Intelligence,824.0,292.0,0.01261095806550352,0.012027349864074471,1.048523424364022
Auto Battler,409.0,145.0,0.006259565350474441,0.005972485377708213,1.0480670867504722
Competitive,691.0,245.0,0.010575451484542394,0.01009144081061043,1.0479624944560009
Fantasy,7156.0,2548.0,0.10951943679216407,0.10495098443034846,1.043529390282637
Spectacle fighter,415.0,148.0,0.0063513927150290785,0.00609605404069528,1.0418858941586213
Modern,819.0,296.0,0.012534435261707989,0.01219210808139056,1.028077767850495
Point & Click,3415.0,1247.0,0.05226507499234772,0.051363374248290634,1.0175553253121234
Swordplay,490.0,179.0,0.007499234771962045,0.007372930224894967,1.0171308480094665
Resource Management,1923.0,703.0,0.02943067033976125,0.028956256693302578,1.0163838044220819
Medieval,2169.0,796.0,0.033195592286501374,0.03278688524590164,1.0124655647382919
Visual Novel,3688.0,1362.0,0.05644322007958372,0.056100172996128184,1.0061149024171316
PvE,3109.0,1155.0,0.04758187940006122,0.04757393525002059,1.0001669853460489
Turn-Based,1371.0,513.0,0.02098255280073462,0.02113024137078837,0.9930105592519202
Combat,4554.0,1705.0,0.0696969696969697,0.07022819013098278,0.9924357948991381
Realistic,3723.0,1395.0,0.05697887970615243,0.05745942828898591,0.9916367322623432
Fighting,755.0,283.0,0.011554943373125192,0.011656643875113271,0.9912753187729095
Dinosaurs,256.0,96.0,0.003917967554331191,0.0039541972155861275,0.9908376696255484
Immersive Sim,2010.0,758.0,0.03076216712580349,0.031221682181398796,0.9852821813723709
Simulation,11363.0,4300.0,0.1739057239057239,0.17711508361479528,0.9818798058100384
Card Game,1358.0,514.0,0.020783593510866238,0.02117143092511739,0.9816810958303707
3D Fighter,509.0,193.0,0.007790021426385063,0.007949583985501277,0.9799281875117956
Magic,2485.0,943.0,0.03803183348637894,0.038841749732267894,0.9791483068741336
Free to Play,2975.0,1140.0,0.04553106825834099,0.046956091935085265,0.9696519957684232
Cinematic,1243.0,480.0,0.019023569023569022,0.01977098607793064,0.9621962682379348
Golf,124.0,48.0,0.0018977655341291704,0.0019770986077930638,0.9598739924497499
FPS,3339.0,1295.0,0.051101928374655645,0.0533404728560837,0.9580329089419998
Action RPG,2509.0,977.0,0.03839914294459749,0.04024219457945465,0.9542010157716866
Economy,1127.0,441.0,0.017248239975512704,0.018164593459098773,0.949552766724484
Crime,661.0,260.0,0.010116314661769207,0.01070928412554576,0.9446303359939724
