tag_a,tag_b,cooccurrence_count,jaccard_similarity
First-Person,Shooter,2763,0.17783355860204672
Casual,Strategy,7076,0.1759279978120882
Indie,Simulation,8828,0.1757060685070557
2D,Platformer,4505,0.17474108839843294
3D,Atmospheric,4238,0.173036093418259
3D,Action-Adventure,3384,0.17263544536271808
Singleplayer,Exploration,7868,0.17138625076239436
Singleplayer,Cute,7780,0.170801317233809
2D,Arcade,4741,0.17041696621135874
Casual,Family Friendly,5727,0.16997091470291448
Pixel Graphics,Platformer,2819,0.16995237233978416
Exploration,Horror,2807,0.16916772132827096
Singleplayer,RPG,8142,0.1687006609618134
Action,Pixel Graphics,6312,0.16690464858004125
RPG,Story Rich,3567,0.16659660921956004
Colorful,Funny,2885,0.16591902461467678
Singleplayer,First-Person,7560,0.16576402745192623
Adventure,Horror,5551,0.16536582459485225
Puzzle,Family Friendly,3050,0.16520420322825263
Colorful,Arcade,3075,0.16510953608247422
2D,Fantasy,4591,0.1650963751438435
2D,Strategy,5288,0.16086639084935508
Adventure,3D,6319,0.1603684998604167
Singleplayer,Fantasy,7195,0.1590688008489565
Action,Platformer,5472,0.15891270256142184
Adventure,First-Person,5647,0.1587618431780483
Action,Multiplayer,5621,0.15840049597024178
Story Rich,Horror,2681,0.15805919113312109
Simulation,3D,4175,0.1579166351463802
Indie,RPG,7763,0.15737831208060493
Puzzle,Colorful,3481,0.15627384960718294
Action,First-Person,5779,0.15627366143861546
2D,RPG,4890,0.15530218820465588
2D,Story Rich,4555,0.15474249218643837
Funny,Family Friendly,2145,0.1544943820224719
Puzzle,Exploration,3341,0.1544256990986827
Adventure,Fantasy,5387,0.15352389637778222
Casual,Arcade,5549,0.15350355473180446
3D,Colorful,3557,0.1531473348833204
Indie,Atmospheric,7556,0.15224049000644746
Arcade,Shooter,2327,0.15115297174407274
Singleplayer,Arcade,6891,0.15079434548557924
Pixel Graphics,Arcade,2829,0.15006365372374283
Indie,Pixel Graphics,7171,0.14923416299009407
Casual,3D,6060,0.14881390894356858
Puzzle,Cute,3138,0.14669035153328347
Action,Atmospheric,5863,0.14572976734937362
Adventure,Pixel Graphics,5360,0.14398151879012544
Casual,Atmospheric,5715,0.14324385292127229
Strategy,RPG,3648,0.1430644338993686
3D,Horror,2915,0.14301834952408987
Action,RPG,5721,0.14204489025722514
Retro,Platformer,1916,0.14072713918472274
Puzzle,Story Rich,3087,0.13948129405385867
2D,Atmospheric,4463,0.13941646882419093
RPG,Pixel Graphics,3119,0.13937796049691661
Atmospheric,Colorful,3120,0.1387098208331481
Story Rich,Fantasy,2556,0.13858165256994145
Action,Early Access,5049,0.13850711875565797
Indie,3D,7087,0.13822628776501336
Pixel Graphics,Fantasy,2604,0.13766851704996036
2D,Funny,3755,0.13714390065741416
Casual,Funny,4851,0.13695265520453967
Adventure,Platformer,4621,0.13695098097326774
Atmospheric,Relaxing,2575,0.1365975279826004
Action,Retro,4821,0.1360557656488119
Singleplayer,Relaxing,5981,0.1347436244029918
Colorful,Fantasy,2546,0.13406350376494128
Singleplayer,Retro,5959,0.13329903364352183
Simulation,First-Person,3052,0.13237909347213186
2D,Family Friendly,3520,0.13151995217456283
2D,Relaxing,3518,0.13115609737911493
Action,Colorful,5087,0.1302322009165152
Adventure,Cute,4745,0.12952448545067424
First-Person,Action-Adventure,2115,0.12923923006416133
Puzzle,Horror,2534,0.12839481151195783
Cute,Fantasy,2308,0.12820085541298673
Early Access,Multiplayer,2043,0.1282003012048193
Adventure,Colorful,4828,0.12780263123064298
Singleplayer,Family Friendly,5700,0.12776831345826234
Singleplayer,Funny,5776,0.12726111000947407
3D,Shooter,2557,0.12627784088103117
Atmospheric,Action-Adventure,2439,0.12587087784486764
