tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Fighting,1038,655,72.0,3841.9238921001925,80.16338500209469,0.0,0.0,0.5272101744670744,0.1416184971098266,7.99,2020.0,0.011582494588140776,High
First-Person,10444,5194,29.0,5433.495691306013,79.52281567213737,0.0,0.0,0.2987634576802712,0.07267330524703179,4.99,2022.0,0.11653908812961682,Very High
Fishing,366,211,47.5,4326.071038251366,83.52314814814815,0.0,0.0,0.5763983019450808,0.05737704918032787,7.99,2022.5,0.004084000981945592,Medium
Flight,1319,564,20.0,1616.0879454131918,79.85507246376812,0.0,0.0,0.12861393123205989,0.08718726307808947,5.19,2021.0,0.014718025396683702,High
Football,3,2,46.0,49.666666666666664,72.97014143530645,0.0,0.0,0.015242066182423871,0.6666666666666666,0.0,2020.0,3.347541788479993e-05,Low
Football (American),113,68,69.0,6752.601769911505,74.90417422867515,0.0,0.0,0.535301310828496,0.22123893805309736,7.99,2021.0,0.0012609074069941306,Low
Football (Soccer),252,119,25.5,4435.011904761905,77.06535141800246,0.0,0.0,0.2627440987190551,0.1746031746031746,4.99,2021.0,0.002811935102323194,Medium
Foreign,200,92,20.0,698.245,88.93424036281179,0.0,0.0,0.21366616777938005,0.09,4.99,2022.0,0.0022316945256533284,Low
Fox,25,18,87.0,921.32,78.10457516339869,0.0,0.0,0.5249686738789316,0.04,5.99,2021.0,0.00027896181570666605,Low
Free to Play,4115,3171,116.0,4415.670716889429,77.68595041322314,0.0,0.0,0.32759456727765973,0.9300121506682868,0.0,2019.0,0.045917114865317236,Very High
Funny,8440,4531,37.0,3228.331516587678,86.78618653710139,0.0,0.0,0.35582126997362795,0.07511848341232227,4.99,2021.0,0.09417750898257046,Very High
Futuristic,2945,1079,15.0,1559.6084889643464,82.56735340729001,0.0,0.0,0.041714538437311835,0.06655348047538201,5.99,2022.0,0.032861701890245266,Very High
Gambling,230,95,16.0,1204.8608695652174,80.33845468715208,0.0,0.0,0.20299707207778359,0.11739130434782609,4.99,2023.0,0.0025664487045013278,Low
Game Development,425,194,24.0,2653.294117647059,82.70172801806746,0.0,0.0,0.24518513425014368,0.14588235294117646,7.99,2021.0,0.004742350867013323,Medium
GameMaker,164,114,65.0,1427.878048780488,81.54677839500361,0.0,0.0,0.40722023572594346,0.10365853658536585,3.99,2018.0,0.0018299895110357293,Low
Games Workshop,79,66,1313.0,14506.113924050633,78.04853314689743,1043.0,11.0,1.8240122273807744,0.13924050632911392,9.99,2018.0,0.0008815193376330648,Low
Gaming,84,33,19.5,10856.32142857143,79.59183673469387,0.0,0.0,0.1598383567995105,0.07142857142857142,4.99,2020.0,0.000937311700774398,Low
God Game,510,249,28.0,852.9235294117647,79.48016415868673,0.0,0.0,0.2684871471130865,0.045098039215686274,5.99,2022.0,0.005690821040415988,Medium
Golf,172,77,25.5,738.6104651162791,81.17123795404004,0.0,0.0,0.057462250597909104,0.05232558139534884,4.99,2022.0,0.0019192572920618625,Low
